Crime Date,Agency,Description,Type,Group
4-21-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-21-17,NEW CASTLE COUNTY PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
4-19-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-19-17,NEW CASTLE COUNTY PD,Fraud/Illegal Use of Credit Cards,Fraud,OTHER
4-17-17,NEW CASTLE COUNTY PD,Vehicle Theft ,Vehicle theft,PROPERTY
4-15-17,TROOP 6 STATE POLICE,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-15-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-13-17,TROOP 6 STATE POLICE,Aggravated Assault/Non-Family Firearm,Aggravated assault,VIOLENT
4-12-17,TROOP 6 STATE POLICE,Damage/Private Property,Criminal mischief,OTHER
4-10-17,NEW CASTLE COUNTY PD,Identity Theft, ,
4-07-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-05-17,TROOP 6 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-05-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-05-17,NEW CASTLE COUNTY PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-05-17,NEW CASTLE COUNTY PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-04-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-03-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-03-17,NEW CASTLE COUNTY PD,Trespassing/Free Text,Trespassing,OTHER
4-03-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
3-30-17,TROOP 6 STATE POLICE,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
3-30-17,TROOP 6 STATE POLICE,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
3-30-17,TROOP 6 STATE POLICE,Larceny/From All Other Yards,Theft,PROPERTY
3-30-17,TROOP 6 STATE POLICE,Larceny/From All Other Yards,Theft,PROPERTY
