Crime Date,Agency,Description,Type,Group
4-23-17,WILMINGTON PD,Aggravated Assault/Non-Family Other Dangerous Weapon,Aggravated assault,VIOLENT
4-20-17,WILMINGTON PD,Moving Violation/Traffic,Traffic,OTHER
4-20-17,WILMINGTON PD,Moving Violation/Traffic,Traffic,OTHER
4-19-17,WILMINGTON PD,Failure to Register as Sex Offender, ,
4-18-17,WILMINGTON PD,Damage/Business Property,Criminal mischief,OTHER
4-17-17,WILMINGTON PD,Disorderly Conduct/Liquor Involvement,Disorderly conduct,OTHER
4-14-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-08-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-07-17,WILMINGTON PD,Burglary/No Forced Entry/Residence,Burglary,PROPERTY
4-07-17,WILMINGTON PD,Larceny/From Building,Theft,PROPERTY
4-07-17,WILMINGTON PD,Heroin/Possession with Intent to Deliver,Drugs,DRUGS
4-07-17,WILMINGTON PD,Cocaine/Possession with Intent to Deliver,Drugs,DRUGS
4-07-17,WILMINGTON PD,Cocaine/Possession,Drugs,DRUGS
4-07-17,WILMINGTON PD,Resisting Arrest,Obstruction of justice -- police,OTHER
4-06-17,WILMINGTON PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-05-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-05-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-03-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-02-17,WILMINGTON PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-01-17,WILMINGTON PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
