Crime Date,Agency,Description,Type,Group
4-21-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-20-17,WILMINGTON PD,Marijuana/Possession,Drugs,DRUGS
4-19-17,WILMINGTON PD,Failure to Register as Sex Offender, ,
4-19-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-12-17,WILMINGTON PD,IMPERSONATION,Fraud,OTHER
4-11-17,WILMINGTON PD,Cocaine/Possession,Drugs,DRUGS
4-11-17,WILMINGTON PD,Possession of an Open Container,Liquor,OTHER
4-11-17,WILMINGTON PD,Destroying/Tampering Evidence,Obstruction of justice -- police,OTHER
4-10-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-10-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-10-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-01-17,WILMINGTON PD,Heroin/Possession,Drugs,DRUGS
3-31-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
3-31-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
3-31-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
