Crime Date,Agency,Description,Type,Group
4-23-17,NEW CASTLE COUNTY PD,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
4-23-17,NEW CASTLE COUNTY PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-15-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-15-17,NEW CASTLE COUNTY PD,Obstructing Police/Hindering Police Officer/Free Text,Obstruction of justice -- police,OTHER
4-15-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-07-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-07-17,NEW CASTLE COUNTY PD,Trespassing/Free Text,Trespassing,OTHER
4-03-17,TROOP 1 STATE POLICE,Burglary/Forced Entry/NonResidence,Burglary,PROPERTY
4-03-17,TROOP 1 STATE POLICE,Burglary/Possession of Tools,Burglary,PROPERTY
4-03-17,TROOP 1 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-03-17,TROOP 1 STATE POLICE,Damage/Business Property,Criminal mischief,OTHER
4-03-17,TROOP 1 STATE POLICE,Vehicle Theft Locally Stolen-Locally Recover,Vehicle theft,PROPERTY
4-03-17,NEW CASTLE COUNTY PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
4-03-17,NEW CASTLE COUNTY PD,Burglary/Forced Entry/Residence,Burglary,PROPERTY
4-03-17,NEW CASTLE COUNTY PD,Burglary/Possession of Tools,Burglary,PROPERTY
4-03-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-03-17,NEW CASTLE COUNTY PD,Non-Narcotic Tranquilizer and Depressant/Possession,Drugs,DRUGS
4-03-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-02-17,NEW CASTLE COUNTY PD,Invasion of Privacy/Free Text,Trespassing,OTHER
