Crime Date,Agency,Description,Type,Group
4-24-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-24-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-21-17,TROOP 2 STATE POLICE,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
4-19-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-19-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-19-17,NEW CASTLE COUNTY PD,Simple Assault/Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-19-17,NEW CASTLE COUNTY PD,Obstructing Police/Hindering Police Officer/Free Text,Obstruction of justice -- police,OTHER
4-15-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-15-17,NEW CASTLE COUNTY PD,Simple Assault/Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-10-17,TROOP 2 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-10-17,TROOP 2 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-10-17,TROOP 2 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-10-17,TROOP 2 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-10-17,TROOP 2 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-10-17,TROOP 2 STATE POLICE,Forgery/Check,Forgery,OTHER
4-10-17,TROOP 2 STATE POLICE,Forgery/Check,Forgery,OTHER
4-10-17,TROOP 2 STATE POLICE,Possession of Counterfeit Document,Forgery,OTHER
4-10-17,TROOP 2 STATE POLICE,Possession of Counterfeit Document,Forgery,OTHER
4-10-17,TROOP 2 STATE POLICE,Possession of Counterfeit Document,Forgery,OTHER
4-10-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-09-17,TROOP 2 STATE POLICE,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-09-17,TROOP 2 STATE POLICE,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-06-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-04-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
