Crime Date,Agency,Description,Type,Group
4-21-17,SMYRNA PD,Marijuana/Possession,Drugs,DRUGS
4-11-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-10-17,TROOP 3 STATE POLICE,Simple Assault/Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-10-17,TROOP 3 STATE POLICE,Simple Assault/Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-10-17,SMYRNA PD,Larceny/From Building,Theft,PROPERTY
4-10-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-07-17,CLAYTON PD,Identity Theft, ,
4-07-17,SMYRNA PD,Larceny/From All Other Yards,Theft,PROPERTY
4-01-17,TROOP 9 STATE POLICE,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-01-17,TROOP 9 STATE POLICE,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-01-17,TROOP 9 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
