Crime Date,Agency,Description,Type,Group
4-06-17,TROOP 5 STATE POLICE,Heroin/Possession,Drugs,DRUGS
4-06-17,TROOP 5 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
4-06-17,TROOP 5 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
4-06-17,TROOP 5 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
4-06-17,TROOP 5 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
4-04-17,TROOP 5 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
4-04-17,TROOP 5 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-04-17,TROOP 5 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
4-03-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-03-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-03-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-03-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-03-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-03-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
