Crime Date,Agency,Description,Type,Group
4-20-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-12-17,NEW CASTLE COUNTY PD,Larceny/From Building,Theft,PROPERTY
4-06-17,NEW CASTLE COUNTY PD,Burglary/Forced Entry/Free Text NonResidence,Burglary,PROPERTY
4-06-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-06-17,NEW CASTLE COUNTY PD,Heroin/Possession,Drugs,DRUGS
4-06-17,NEW CASTLE COUNTY PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-06-17,NEW CASTLE COUNTY PD,Trespassing/Free Text,Trespassing,OTHER
4-06-17,NEW CASTLE COUNTY PD,Burglary/No Forced Entry/Free Text,Burglary,PROPERTY
4-06-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-06-17,NEW CASTLE COUNTY PD,Trespassing/Free Text,Trespassing,OTHER
4-06-17,NEW CASTLE COUNTY PD,Burglary/No Forced Entry/Free Text,Burglary,PROPERTY
4-06-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-06-17,NEW CASTLE COUNTY PD,Trespassing/Free Text,Trespassing,OTHER
