Crime Date,Agency,Description,Type,Group
4-22-17,TROOP 3 STATE POLICE,Marijuana/Possession,Drugs,DRUGS
4-19-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-18-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-17-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-17-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-17-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-10-17,TROOP 3 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-10-17,TROOP 3 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-08-17,TROOP 3 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-08-17,TROOP 3 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
3-30-17,TROOP 3 STATE POLICE,Domestic/Non-Family/Verbal,Domestic,OTHER
