Crime Date,Agency,Description,Type,Group
4-21-17,DIVISION OF GAMING ENFORCEMENT,Damage/Business Property,Criminal mischief,OTHER
4-18-17,DOVER PD,Domestic/Non-Family/Verbal,Domestic,OTHER
4-14-17,DIVISION OF GAMING ENFORCEMENT,Fraud/Confidence Game, ,
4-14-17,DIVISION OF GAMING ENFORCEMENT,Fraud/Confidence Game, ,
4-14-17,DIVISION OF GAMING ENFORCEMENT,Damage/Business Property,Criminal mischief,OTHER
4-14-17,DIVISION OF GAMING ENFORCEMENT,IMPERSONATION,Fraud,OTHER
4-14-17,DIVISION OF GAMING ENFORCEMENT,Trespassing/Free Text,Trespassing,OTHER
4-11-17,DIVISION OF GAMING ENFORCEMENT,Larceny/From Building,Theft,PROPERTY
4-08-17,DIVISION OF GAMING ENFORCEMENT,Damage/Business Property,Criminal mischief,OTHER
4-08-17,DIVISION OF GAMING ENFORCEMENT,Larceny/From Building,Theft,PROPERTY
4-05-17,DOVER PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-05-17,DOVER PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-05-17,DOVER PD,Damage/Private Property,Criminal mischief,OTHER
4-03-17,DIVISION OF GAMING ENFORCEMENT,Theft/False Pretense or Promise,Fraud,OTHER
4-03-17,DIVISION OF GAMING ENFORCEMENT,Passport Counterfeiting,Forgery,OTHER
4-03-17,DIVISION OF GAMING ENFORCEMENT,Fraud/Swindle/Flimflam,Fraud,OTHER
4-03-17,DIVISION OF GAMING ENFORCEMENT,IMPERSONATION,Fraud,OTHER
4-02-17,DIVISION OF GAMING ENFORCEMENT,Larceny/From Building,Theft,PROPERTY
