Crime Date,Agency,Description,Type,Group
4-24-17,TROOP 6 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
4-22-17,TROOP 6 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-17-17,TROOP 6 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-17-17,TROOP 6 STATE POLICE,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-15-17,TROOP 6 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-12-17,NEWPORT PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-09-17,TROOP 6 STATE POLICE,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-09-17,TROOP 6 STATE POLICE,Vehicle Theft Locally Stolen-Locally Recover,Vehicle theft,PROPERTY
4-09-17,TROOP 6 STATE POLICE,Fraud/Illegal Use of Credit Cards,Fraud,OTHER
4-05-17,TROOP 6 STATE POLICE,Damage/Public Property,Criminal mischief,OTHER
4-04-17,TROOP 6 STATE POLICE,Damage/Business Property,Criminal mischief,OTHER
4-04-17,TROOP 2 STATE POLICE,Heroin/Possession,Drugs,DRUGS
4-04-17,TROOP 2 STATE POLICE,Heroin/Possession,Drugs,DRUGS
4-03-17,TROOP 6 STATE POLICE,Unauthorized Use of Motor Vehicle,Vehicle theft,PROPERTY
4-01-17,ALCOHOL & TOBACCO ENFORCEMENT,Liquor/Selling,Liquor,OTHER
3-31-17,TROOP 6 STATE POLICE,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
3-31-17,TROOP 6 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
