Crime Date,Agency,Description,Type,Group
4-23-17,NEW CASTLE COUNTY PD,Larceny/From Building,Theft,PROPERTY
4-23-17,NEW CASTLE COUNTY PD,Larceny Controlled Substance Non Registered Facility,Theft,PROPERTY
4-18-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-13-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-11-17,TROOP 2 STATE POLICE,Heroin/Possession,Drugs,DRUGS
4-10-17,NEW CASTLE COUNTY PD,Marijuana/Possession,Drugs,DRUGS
4-07-17,TROOP 2 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
4-06-17,TROOP 2 STATE POLICE,Vehicle Theft ,Vehicle theft,PROPERTY
4-05-17,TROOP 2 STATE POLICE,Heroin/Possession,Drugs,DRUGS
4-05-17,TROOP 2 STATE POLICE,Cocaine/Possession,Drugs,DRUGS
4-04-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-02-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-02-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-01-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
3-30-17,NEW CASTLE COUNTY PD,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
3-30-17,NEW CASTLE COUNTY PD,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
3-30-17,NEW CASTLE COUNTY PD,Burglary/No Forced Entry/Residence,Burglary,PROPERTY
3-30-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
3-30-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
3-30-17,NEW CASTLE COUNTY PD,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
