Crime Date,Agency,Description,Type,Group
4-05-17,TROOP 3 STATE POLICE,Cocaine/Possession with Intent to Deliver,Drugs,DRUGS
4-05-17,TROOP 3 STATE POLICE,Cocaine/Possession with Intent to Deliver,Drugs,DRUGS
4-05-17,TROOP 3 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
3-30-17,TROOP 3 STATE POLICE,Marijuana/Possession,Drugs,DRUGS
3-30-17,TROOP 3 STATE POLICE,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
3-30-17,TROOP 3 STATE POLICE,Cocaine/Possession,Drugs,DRUGS
3-30-17,TROOP 3 STATE POLICE,Cocaine/Possession,Drugs,DRUGS
3-30-17,TROOP 3 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
3-30-17,TROOP 3 STATE POLICE,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
3-30-17,TROOP 3 STATE POLICE,Destroying/Tampering Evidence,Obstruction of justice -- police,OTHER
3-30-17,TROOP 3 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
3-30-17,TROOP 3 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
3-30-17,TROOP 3 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
