Crime Date,Agency,Description,Type,Group
4-21-17,TROOP 5 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-21-17,TROOP 5 STATE POLICE,Driving Under the Influence/Drugs,Traffic,OTHER
4-21-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-21-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-21-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-21-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-21-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-21-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-15-17,TROOP 5 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-13-17,TROOP 5 STATE POLICE,Unauthorized Use of Motor Vehicle,Vehicle theft,PROPERTY
4-13-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-13-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-13-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-13-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-13-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-13-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
