Crime Date,Agency,Description,Type,Group
4-22-17,TROOP 3 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-19-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-19-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-19-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-18-17,TROOP 3 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-13-17,TROOP 3 STATE POLICE,Domestic/Non-Family/Verbal,Domestic,OTHER
4-13-17,TROOP 3 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-06-17,TROOP 3 STATE POLICE,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-06-17,TROOP 3 STATE POLICE,Fraud/Illegal Use of Credit Cards,Fraud,OTHER
4-06-17,TROOP 3 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
4-04-17,TROOP 3 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-04-17,TROOP 3 STATE POLICE,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-04-17,TROOP 3 STATE POLICE,Unauthorized Use of Motor Vehicle,Vehicle theft,PROPERTY
4-04-17,TROOP 3 STATE POLICE,Driving without Consent,Traffic,OTHER
4-04-17,TROOP 3 STATE POLICE,Driving without Consent,Traffic,OTHER
4-01-17,TROOP 3 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
