Crime Date,Agency,Description,Type,Group
4-27-17,NEWARK PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-27-17,NEWARK PD,Larceny/From All Other Yards,Theft,PROPERTY
4-26-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-26-17,NEWARK PD,Aggravated Assault/Non-Family Strong-Arm/Hands/Fist/Feet,Aggravated assault,VIOLENT
4-25-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-23-17,NEWARK PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-23-17,NEWARK PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-23-17,NEWARK PD,Illegally Firing a Weapon,Weapons,WEAPONS
4-22-17,NEWARK PD,Trespassing/Free Text,Trespassing,OTHER
4-22-17,NEWARK PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-22-17,NEWARK PD,Possession of an Open Container,Liquor,OTHER
4-22-17,NEWARK PD,Urinate or Defecate in Public, ,
4-22-17,NEWARK PD,Non-Moving Violation/Abandoned Vehicle/Tampering with Vehicle/Etc.,Traffic,OTHER
4-22-17,NEWARK PD,Trespassing/Free Text,Trespassing,OTHER
4-22-17,NEWARK PD,Possession of an Open Container,Liquor,OTHER
4-22-17,NEWARK PD,Local Statute/Free Text,Local statute,OTHER
4-22-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-22-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-22-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-22-17,NEWARK PD,Conservation/Environment,Conservation,OTHER
4-22-17,NEWARK PD,Local Statute/Free Text,Local statute,OTHER
4-22-17,NEWARK PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-22-17,NEWARK PD,Larceny/From Building,Theft,PROPERTY
4-22-17,NEWARK PD,Larceny/From Building,Theft,PROPERTY
4-22-17,NEWARK PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-22-17,NEWARK PD,Damage/Private Property,Criminal mischief,OTHER
4-21-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-21-17,NEWARK PD,Simple Assault/Police Officer/Other Assaults/Non-Aggravated,Assault,OTHER
4-21-17,NEWARK PD,Burglary/No Forced Entry/Residence,Burglary,PROPERTY
4-21-17,NEWARK PD,Damage/Private Property,Criminal mischief,OTHER
4-21-17,NEWARK PD,Damage/Public Property,Criminal mischief,OTHER
4-21-17,NEWARK PD,Resisting Arrest,Obstruction of justice -- police,OTHER
4-21-17,NEWARK PD,Moving Violation/Traffic,Traffic,OTHER
4-21-17,NEWARK PD,Moving Violation/Traffic,Traffic,OTHER
4-21-17,NEWARK PD,Moving Violation/Traffic,Traffic,OTHER
4-19-17,NEWARK PD,Domestic/Non-Family/Verbal,Domestic,OTHER
4-19-17,NEWARK PD,Damage/Business Property,Criminal mischief,OTHER
4-19-17,NEWARK PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-19-17,NEWARK PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-19-17,NEWARK PD,Traffic Offense/Free Text,Traffic,OTHER
4-19-17,NEWARK PD,Traffic Offense/Free Text,Traffic,OTHER
4-16-17,NEWARK PD,Disorderly Conduct/Liquor Involvement,Disorderly conduct,OTHER
4-16-17,NEWARK PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-16-17,UNIVERSITY OF DE. POLICE DEPT.,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-15-17,NEWARK PD,Marijuana/Possession,Drugs,DRUGS
4-15-17,NEWARK PD,Consumption of Liquor/Underage,Drunkeness,OTHER
4-15-17,NEWARK PD,Disorderly Conduct/Liquor Involvement,Disorderly conduct,OTHER
4-15-17,NEWARK PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-15-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-15-17,NEWARK PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-15-17,NEWARK PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-14-17,NEWARK PD,Urinate or Defecate in Public, ,
4-14-17,NEWARK PD,Consumption of Liquor/Underage,Drunkeness,OTHER
4-14-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-14-17,NEWARK PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-14-17,NEWARK PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-12-17,NEWARK PD,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
4-11-17,NEWARK PD,Larceny/From Building,Theft,PROPERTY
4-11-17,NEWARK PD,Larceny/From Building,Theft,PROPERTY
4-11-17,NEWARK PD,Forgery/Check,Forgery,OTHER
4-11-17,NEWARK PD,Forgery of,Forgery,OTHER
4-11-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-11-17,NEWARK PD,Trespassing/Free Text,Trespassing,OTHER
4-10-17,NEWARK PD,Damage/Business Property,Criminal mischief,OTHER
4-09-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-09-17,NEWARK PD,Domestic/Non-Family/Verbal,Domestic,OTHER
4-09-17,NEWARK PD,Consumption of Liquor/Underage,Drunkeness,OTHER
4-09-17,NEWARK PD,Urinate or Defecate in Public, ,
4-09-17,NEWARK PD,Urinate or Defecate in Public, ,
4-09-17,NEWARK PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-09-17,NEWARK PD,Aggravated Assault/Non-Family Strong-Arm/Hands/Fist/Feet,Aggravated assault,VIOLENT
4-09-17,NEWARK PD,Aggravated Assault/Non-Family Strong-Arm/Hands/Fist/Feet,Aggravated assault,VIOLENT
4-08-17,NEWARK PD,Urinate or Defecate in Public, ,
4-08-17,NEWARK PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-08-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-08-17,NEWARK PD,Trespassing/Free Text,Trespassing,OTHER
4-08-17,NEWARK PD,Disorderly Conduct/Liquor Involvement,Disorderly conduct,OTHER
4-08-17,NEWARK PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-07-17,NEWARK PD,Consumption of Liquor/Underage,Drunkeness,OTHER
