Crime Date,Agency,Description,Type,Group
4-26-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-22-17,WILMINGTON PD,Domestic/Non-Family/Verbal,Domestic,OTHER
4-19-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-19-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-09-17,WILMINGTON PD,Burglary/No Forced Entry/Residence,Burglary,PROPERTY
4-08-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-08-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-08-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-08-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-08-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-08-17,WILMINGTON PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-07-17,TROOP 1 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-07-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-04-17,WILMINGTON PD,Larceny/From All Other Yards,Theft,PROPERTY
