Crime Date,Agency,Description,Type,Group
4-21-17,NEW CASTLE COUNTY PD,Domestic/Non-Family/Verbal,Domestic,OTHER
4-21-17,NEW CASTLE COUNTY PD,Marijuana/Possession,Drugs,DRUGS
4-19-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-18-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-17-17,NEW CASTLE COUNTY PD,Burglary/No Forced Entry/Residence,Burglary,PROPERTY
4-17-17,NEW CASTLE COUNTY PD,Larceny/From Building,Theft,PROPERTY
4-17-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-14-17,TROOP 6 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-14-17,TROOP 6 STATE POLICE,Possession of Counterfeit Document,Forgery,OTHER
4-07-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-06-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-06-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-04-17,TROOP 2 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Conditional Release Violation,Obstruction of justice -- courts,OTHER
4-03-17,TROOP 2 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-03-17,TROOP 2 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
3-30-17,TROOP 2 STATE POLICE,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
3-30-17,TROOP 2 STATE POLICE,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
3-30-17,TROOP 2 STATE POLICE,Resisting Arrest,Obstruction of justice -- police,OTHER
3-30-17,TROOP 2 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
3-30-17,TROOP 2 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
