Crime Date,Agency,Description,Type,Group
4-26-17,NEW CASTLE CITY PD,Conditional Release Violation,Obstruction of justice -- courts,OTHER
4-18-17,NEW CASTLE CITY PD,Heroin/Possession,Drugs,DRUGS
4-18-17,NEW CASTLE CITY PD,Traffic Offense/Free Text,Traffic,OTHER
4-17-17,NEW CASTLE CITY PD,Theft/False Pretense or Promise,Fraud,OTHER
4-14-17,NEW CASTLE CITY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-14-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-13-17,NEW CASTLE CITY PD,Theft/False Pretense or Promise,Fraud,OTHER
4-13-17,NEW CASTLE CITY PD,Damage/Business Property,Criminal mischief,OTHER
4-10-17,NEW CASTLE CITY PD,Burglary/Forced Entry/Residence,Burglary,PROPERTY
3-30-17,NEW CASTLE CITY PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
