Crime Date,Agency,Description,Type,Group
4-26-17,WILMINGTON PD,Damage/Business Property,Criminal mischief,OTHER
4-26-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-26-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-25-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-23-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-21-17,WILMINGTON PD,Vehicle Theft Locally Stolen-Locally Recover,Vehicle theft,PROPERTY
4-21-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-21-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-17-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-15-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-13-17,WILMINGTON PD,Damage/Business Property,Criminal mischief,OTHER
4-10-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-08-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-02-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
3-31-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
