Crime Date,Agency,Description,Type,Group
4-24-17,TROOP 6 STATE POLICE,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
4-24-17,NEW CASTLE COUNTY PD,Domestic/Family/Verbal,Domestic,OTHER
4-21-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-21-17,NEW CASTLE COUNTY PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-20-17,NEW CASTLE COUNTY PD,Identity Theft, ,
4-17-17,TROOP 6 STATE POLICE,Robbery/Gun Gas or Service Station,Robbery,VIOLENT
4-17-17,TROOP 6 STATE POLICE,Aggravated Assault/Non-Family Firearm,Aggravated assault,VIOLENT
4-14-17,TROOP 6 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-14-17,DIVISION OF GAMING ENFORCEMENT,Larceny/From Building,Theft,PROPERTY
4-11-17,NEW CASTLE COUNTY PD,Violation of Protection From Abuse Order (PFA),Obstruction of justice -- courts,OTHER
4-11-17,DIVISION OF GAMING ENFORCEMENT,Damage/Business Property,Criminal mischief,OTHER
4-07-17,NEW CASTLE COUNTY PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
