Crime Date,Agency,Description,Type,Group
4-22-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-20-17,TROOP 6 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-19-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-19-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-15-17,NEW CASTLE COUNTY PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
4-14-17,TROOP 6 STATE POLICE,Domestic/Non-Family/Verbal,Domestic,OTHER
4-07-17,NEW CASTLE COUNTY PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
4-07-17,NEW CASTLE COUNTY PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
4-07-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-07-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-06-17,TROOP 2 STATE POLICE,IMPERSONATION,Fraud,OTHER
4-06-17,TROOP 2 STATE POLICE,Cocaine/Possession with Intent to Deliver,Drugs,DRUGS
4-06-17,TROOP 2 STATE POLICE,Cocaine/Possession with Intent to Deliver,Drugs,DRUGS
4-06-17,NEW CASTLE COUNTY PD,Kidnap Minor,Kidnap,VIOLENT
4-04-17,NEW CASTLE COUNTY PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
4-03-17,TROOP 6 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-03-17,TROOP 6 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-03-17,NEW CASTLE COUNTY PD,Larceny/From Building,Theft,PROPERTY
4-01-17,NEW CASTLE COUNTY PD,Identity Theft, ,
4-01-17,NEW CASTLE COUNTY PD,Identity Theft, ,
