Crime Date,Agency,Description,Type,Group
4-24-17,TROOP 9 STATE POLICE,Domestic/Non-Family/Verbal,Domestic,OTHER
4-21-17,TROOP 9 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-07-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-04-17,TROOP 9 STATE POLICE,Burglary/Forced Entry/NonResidence,Burglary,PROPERTY
4-04-17,TROOP 9 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-04-17,TROOP 9 STATE POLICE,Damage/Business Property,Criminal mischief,OTHER
4-04-17,TROOP 9 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
4-04-17,TROOP 9 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
3-31-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
3-31-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
3-31-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
3-30-17,TROOP 9 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
3-30-17,TROOP 9 STATE POLICE,Marijuana/Possession,Drugs,DRUGS
