Crime Date,Agency,Description,Type,Group
4-23-17,WILMINGTON PD,Damage/Business Property,Criminal mischief,OTHER
4-20-17,WILMINGTON PD,Aggravated Assault/Non-Family Knife/Cutting Instrument,Aggravated assault,VIOLENT
4-20-17,WILMINGTON PD,Possession of Weapon,Weapons,WEAPONS
4-18-17,WILMINGTON PD,Larceny/From Building,Theft,PROPERTY
4-18-17,WILMINGTON PD,Failure to Register as Sex Offender, ,
4-08-17,TROOP 1 STATE POLICE,Damage/Public Property,Criminal mischief,OTHER
4-08-17,TROOP 1 STATE POLICE,Driving Under the Influence/Drugs,Traffic,OTHER
4-08-17,TROOP 1 STATE POLICE,Driving Under the Influence/Liquor,Traffic,OTHER
4-08-17,TROOP 1 STATE POLICE,Driving Under the Influence/Liquor,Traffic,OTHER
4-08-17,TROOP 1 STATE POLICE,Driving Under the Influence/Liquor,Traffic,OTHER
4-08-17,TROOP 1 STATE POLICE,Driving Under the Influence/Liquor,Traffic,OTHER
4-04-17,WILMINGTON PD,Vehicle Theft Locally Stolen-Recovered Other,Vehicle theft,PROPERTY
3-30-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
