Crime Date,Agency,Description,Type,Group
4-17-17,NEW CASTLE COUNTY PD,Kidnap/Free Text,Kidnap,VIOLENT
4-17-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-15-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-11-17,NEW CASTLE COUNTY PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-10-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-10-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-10-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-07-17,TROOP 2 STATE POLICE,Hit and Run,Traffic,OTHER
4-07-17,TROOP 2 STATE POLICE,Hit and Run,Traffic,OTHER
4-07-17,TROOP 2 STATE POLICE,Hit and Run,Traffic,OTHER
4-07-17,TROOP 2 STATE POLICE,Hit and Run,Traffic,OTHER
4-07-17,TROOP 2 STATE POLICE,Hit and Run,Traffic,OTHER
4-07-17,TROOP 2 STATE POLICE,Hit and Run,Traffic,OTHER
4-07-17,NEW CASTLE COUNTY PD,Burglary/No Forced Entry/NonResidence,Burglary,PROPERTY
4-07-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-07-17,NEW CASTLE COUNTY PD,Larceny/From Building,Theft,PROPERTY
4-03-17,NEW CASTLE COUNTY PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
