Crime Date,Agency,Description,Type,Group
4-22-17,DELMAR PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-18-17,DELMAR PD,Domestic/Family/Verbal,Domestic,OTHER
4-17-17,TROOP 5 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-13-17,TROOP 5 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-12-17,DELMAR PD,Marijuana/Possession,Drugs,DRUGS
4-02-17,TROOP 5 STATE POLICE,Larceny/From All Other Yards,Theft,PROPERTY
4-02-17,TROOP 5 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
4-01-17,TROOP 5 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
3-31-17,TROOP 5 STATE POLICE,Failure to Keep Controlled Substance in Original Container,Drugs,DRUGS
3-31-17,TROOP 5 STATE POLICE,Driving Under the Influence/Drugs,Traffic,OTHER
3-31-17,TROOP 5 STATE POLICE,Driving Under the Influence/Drugs,Traffic,OTHER
3-31-17,TROOP 5 STATE POLICE,Driving Under the Influence/Drugs,Traffic,OTHER
3-31-17,TROOP 5 STATE POLICE,Driving Under the Influence/Drugs,Traffic,OTHER
