Crime Date,Agency,Description,Type,Group
4-21-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-14-17,NEW CASTLE COUNTY PD,Larceny/From Building,Theft,PROPERTY
4-14-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-10-17,NEW CASTLE COUNTY PD,Domestic/Non-Family/Verbal,Domestic,OTHER
4-09-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-05-17,NEW CASTLE COUNTY PD,Domestic/Family/Verbal,Domestic,OTHER
4-03-17,NEW CASTLE COUNTY PD,Larceny/From Shipment From Building,Theft,PROPERTY
4-01-17,NEW CASTLE COUNTY PD,Marijuana/Possession,Drugs,DRUGS
3-30-17,NEW CASTLE COUNTY PD,Aggravated Assault/Non-Family Firearm,Aggravated assault,VIOLENT
3-30-17,NEW CASTLE COUNTY PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
3-30-17,NEW CASTLE COUNTY PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
3-30-17,NEW CASTLE COUNTY PD,Possession of Weapon,Weapons,WEAPONS
3-30-17,NEW CASTLE COUNTY PD,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
