Crime Date,Agency,Description,Type,Group
4-21-17,WILMINGTON PD,Larceny/Shoplifting,Theft,PROPERTY
4-17-17,WILMINGTON PD,Damage/Business Property,Criminal mischief,OTHER
4-07-17,WILMINGTON PD,Vehicle Theft ,Vehicle theft,PROPERTY
4-06-17,WILMINGTON PD,Vehicle Theft ,Vehicle theft,PROPERTY
4-06-17,WILMINGTON PD,Receiving Stolen Property,Stolen property,OTHER
4-05-17,WILMINGTON PD,Damage/Business Property,Criminal mischief,OTHER
4-05-17,WILMINGTON PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-04-17,WILMINGTON PD,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-04-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-04-17,WILMINGTON PD,Trespassing/Free Text,Trespassing,OTHER
4-04-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-04-17,WILMINGTON PD,Burglary/No Forced Entry/Residence,Burglary,PROPERTY
3-30-17,WILMINGTON PD,Robbery/Other Weapon Highway,Robbery,VIOLENT
