Crime Date,Agency,Description,Type,Group
4-26-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-26-17,NEW CASTLE COUNTY PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-26-17,NEW CASTLE COUNTY PD,Child Neglect,Domestic,OTHER
4-22-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-18-17,NEWARK PD,Theft/False Pretense or Promise,Fraud,OTHER
4-18-17,NEWARK PD,Local Statute/Free Text,Local statute,OTHER
4-16-17,NEW CASTLE COUNTY PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-16-17,NEW CASTLE COUNTY PD,Resisting Arrest,Obstruction of justice -- police,OTHER
4-15-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-15-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-13-17,NEWARK PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-13-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-09-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-04-17,NEW CASTLE COUNTY PD,Larceny/From Building,Theft,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Sale of Stolen Property,Stolen property,OTHER
4-03-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-01-17,NEW CASTLE COUNTY PD,Marijuana/Possession,Drugs,DRUGS
3-31-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
3-30-17,NEW CASTLE COUNTY PD,Marijuana/Possession,Drugs,DRUGS
3-30-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
3-30-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
3-30-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
