Crime Date,Agency,Description,Type,Group
4-20-17,TROOP 5 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
4-20-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-20-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-20-17,TROOP 5 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-12-17,TROOP 5 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-10-17,TROOP 4 STATE POLICE,Burglary/Forced Entry/Residence,Burglary,PROPERTY
4-10-17,TROOP 4 STATE POLICE,Burglary/Forced Entry/Residence,Burglary,PROPERTY
4-10-17,TROOP 4 STATE POLICE,Burglary/Possession of Tools,Burglary,PROPERTY
4-10-17,TROOP 4 STATE POLICE,Larceny/From Building,Theft,PROPERTY
3-30-17,TROOP 5 STATE POLICE,Burglary/No Forced Entry/Residence,Burglary,PROPERTY
3-30-17,TROOP 5 STATE POLICE,Burglary/No Forced Entry/Residence,Burglary,PROPERTY
3-30-17,TROOP 5 STATE POLICE,Larceny/From Building,Theft,PROPERTY
