Crime Date,Agency,Description,Type,Group
4-23-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-23-17,NEW CASTLE COUNTY PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-23-17,NEW CASTLE COUNTY PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-23-17,NEW CASTLE COUNTY PD,Simple Assault/Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-23-17,NEW CASTLE COUNTY PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-23-17,NEW CASTLE COUNTY PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-22-17,TROOP 2 STATE POLICE,Marijuana/Possession,Drugs,DRUGS
4-21-17,NEW CASTLE COUNTY PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-20-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-18-17,TROOP 2 STATE POLICE,Larceny/From All Other Yards,Theft,PROPERTY
4-18-17,NEW CASTLE COUNTY PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-17-17,NEW CASTLE COUNTY PD,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-17-17,NEW CASTLE COUNTY PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-17-17,NEW CASTLE COUNTY PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-17-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-17-17,NEW CASTLE COUNTY PD,Simple Assault/Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-17-17,NEW CASTLE COUNTY PD,Simple Assault/Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-17-17,NEW CASTLE COUNTY PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-17-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-16-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-16-17,NEW CASTLE COUNTY PD,Larceny/From Building,Theft,PROPERTY
4-14-17,NEW CASTLE COUNTY PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-10-17,NEW CASTLE COUNTY PD,Domestic/Family/Verbal,Domestic,OTHER
4-09-17,NEW CASTLE COUNTY PD,Attempt Homicide - Willful Kill - Non-Family - Gun                                                                 ,Homicide (including attempts),VIOLENT
4-09-17,NEW CASTLE COUNTY PD,Aggravated Assault/Non-Family Firearm,Aggravated assault,VIOLENT
4-09-17,NEW CASTLE COUNTY PD,Possession of Weapon,Weapons,WEAPONS
4-09-17,NEW CASTLE COUNTY PD,Possession of Weapon,Weapons,WEAPONS
4-09-17,NEW CASTLE COUNTY PD,IMPERSONATION,Fraud,OTHER
4-09-17,NEW CASTLE COUNTY PD,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-09-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-09-17,NEW CASTLE COUNTY PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
4-07-17,NEW CASTLE COUNTY PD,Unauthorized Use of Motor Vehicle,Vehicle theft,PROPERTY
4-05-17,NEW CASTLE COUNTY PD,Marijuana/Possession,Drugs,DRUGS
4-04-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-04-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-04-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-02-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
3-31-17,NEW CASTLE COUNTY PD,Cocaine/Possession with Intent to Deliver,Drugs,DRUGS
