Crime Date,Agency,Description,Type,Group
4-23-17,NEW CASTLE COUNTY PD,IMPERSONATION,Fraud,OTHER
4-23-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-23-17,NEW CASTLE COUNTY PD,Contempt of Court,Obstruction of justice -- courts,OTHER
4-10-17,NEW CASTLE COUNTY PD,Hit and Run,Traffic,OTHER
4-10-17,NEW CASTLE COUNTY PD,Hit and Run,Traffic,OTHER
4-10-17,NEW CASTLE COUNTY PD,Hit and Run,Traffic,OTHER
4-10-17,NEW CASTLE COUNTY PD,Hit and Run,Traffic,OTHER
4-10-17,NEW CASTLE COUNTY PD,Hit and Run,Traffic,OTHER
4-10-17,NEW CASTLE COUNTY PD,Moving Violation/Traffic,Traffic,OTHER
3-30-17,NEW CASTLE COUNTY PD,Identity Theft, ,
3-30-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
