Crime Date,Agency,Description,Type,Group
4-17-17,NEW CASTLE COUNTY PD,Burglary/No Forced Entry/Residence,Burglary,PROPERTY
4-14-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-11-17,TROOP 6 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
4-06-17,TROOP 6 STATE POLICE,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
4-05-17,TROOP 2 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-05-17,NEW CASTLE COUNTY PD,Conditional Release Violation,Obstruction of justice -- courts,OTHER
4-04-17,NEW CASTLE COUNTY PD,Bail/Own Recognizance,Obstruction of justice -- courts,OTHER
4-04-17,NEW CASTLE COUNTY PD,Bail/Own Recognizance,Obstruction of justice -- courts,OTHER
3-30-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
3-30-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
