Crime Date,Agency,Description,Type,Group
4-19-17,TROOP 3 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-19-17,TROOP 3 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-19-17,TROOP 3 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-19-17,TROOP 3 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-19-17,TROOP 3 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-18-17,TROOP 3 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-18-17,TROOP 3 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-14-17,TROOP 3 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-13-17,TROOP 3 STATE POLICE,Domestic/Non-Family/Verbal,Domestic,OTHER
4-12-17,TROOP 3 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-11-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-10-17,TROOP 3 STATE POLICE,Kidnap/Free Text,Kidnap,VIOLENT
4-10-17,TROOP 3 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-06-17,TROOP 3 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-02-17,TROOP 3 STATE POLICE,Damage/Private Property,Criminal mischief,OTHER
4-02-17,TROOP 3 STATE POLICE,Damage/Private Property,Criminal mischief,OTHER
