Crime Date,Agency,Description,Type,Group
4-24-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-24-17,NEW CASTLE COUNTY PD,Fraud/Illegal Use of Credit Cards,Fraud,OTHER
4-24-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-14-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-14-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-14-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-11-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-10-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-10-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-10-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
