Crime Date,Agency,Description,Type,Group
4-20-17,TROOP 5 STATE POLICE,Public Peace/Free Text/Criminal Nuisance,Disorderly conduct,OTHER
4-20-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-18-17,TROOP 5 STATE POLICE,Burglary/Forced Entry/Residence,Burglary,PROPERTY
4-18-17,TROOP 5 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-18-17,TROOP 5 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-18-17,TROOP 5 STATE POLICE,Damage/Private Property,Criminal mischief,OTHER
4-17-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-17-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-17-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-14-17,TROOP 5 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-14-17,TROOP 5 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-14-17,TROOP 5 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-14-17,TROOP 5 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-14-17,TROOP 5 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-14-17,TROOP 5 STATE POLICE,Simple Assault/Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-14-17,TROOP 5 STATE POLICE,Damage/Private Property,Criminal mischief,OTHER
4-14-17,TROOP 5 STATE POLICE,Marijuana/Possession,Drugs,DRUGS
4-11-17,TROOP 5 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-11-17,TROOP 5 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-10-17,TROOP 5 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-09-17,TROOP 5 STATE POLICE,Heroin/Possession,Drugs,DRUGS
4-09-17,TROOP 5 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
4-09-17,TROOP 5 STATE POLICE,Destroying/Tampering Evidence,Obstruction of justice -- police,OTHER
4-09-17,TROOP 5 STATE POLICE,Destroying/Tampering Evidence,Obstruction of justice -- police,OTHER
4-09-17,TROOP 5 STATE POLICE,Driving Under the Influence/Drugs,Traffic,OTHER
4-09-17,TROOP 5 STATE POLICE,Driving Under the Influence/Drugs,Traffic,OTHER
4-09-17,TROOP 5 STATE POLICE,Driving Under the Influence/Drugs,Traffic,OTHER
4-08-17,TROOP 5 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-08-17,TROOP 5 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-06-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
