Crime Date,Agency,Description,Type,Group
4-16-17,TROOP 5 STATE POLICE,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
4-16-17,TROOP 5 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-14-17,TROOP 5 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-14-17,TROOP 5 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-14-17,TROOP 5 STATE POLICE,Disorderly Conduct/Unrelated to Liquor,Disorderly conduct,OTHER
4-09-17,TROOP 5 STATE POLICE,Simple Assault/Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-08-17,TROOP 5 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-08-17,TROOP 5 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-07-17,DNREC-FISH & WILDLIFE NATURAL RESOURCES,Loitering/Adult,Disorderly conduct,OTHER
4-03-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-03-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
3-30-17,TROOP 4 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
