Crime Date,Agency,Description,Type,Group
4-24-17,NEW CASTLE COUNTY PD,Drug Overdose/Illegal Substances,Drugs,DRUGS
4-18-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-05-17,NEW CASTLE COUNTY PD,Heroin/Possession,Drugs,DRUGS
4-05-17,NEW CASTLE COUNTY PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-02-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-01-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
3-31-17,NEW CASTLE COUNTY PD,Heroin/Possession with Intent to Deliver,Drugs,DRUGS
3-31-17,NEW CASTLE COUNTY PD,Larceny/From Building,Theft,PROPERTY
3-31-17,NEW CASTLE COUNTY PD,Larceny/From Building,Theft,PROPERTY
3-31-17,NEW CASTLE COUNTY PD,Sale of Stolen Property,Stolen property,OTHER
