Crime Date,Agency,Description,Type,Group
4-21-17,TROOP 5 STATE POLICE,Aggravated Assault/Non-Family Other Dangerous Weapon,Aggravated assault,VIOLENT
4-17-17,TROOP 5 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-17-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-13-17,TROOP 5 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-11-17,TROOP 5 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-05-17,TROOP 5 STATE POLICE,Damage/Private Property,Criminal mischief,OTHER
3-31-17,TROOP 5 STATE POLICE,Damage/Private Property,Criminal mischief,OTHER
3-30-17,TROOP 5 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
3-30-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
3-30-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
3-30-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
3-30-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
3-30-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
