Crime Date,Agency,Description,Type,Group
4-25-17,LAUREL PD,Domestic/Non-Family/Verbal,Domestic,OTHER
4-25-17,LAUREL PD,Cocaine/Possession,Drugs,DRUGS
4-25-17,LAUREL PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-25-17,LAUREL PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-25-17,LAUREL PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-25-17,LAUREL PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-24-17,LAUREL PD,Domestic/Family/Verbal,Domestic,OTHER
4-24-17,LAUREL PD,Domestic/Non-Family/Verbal,Domestic,OTHER
4-24-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-24-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-24-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-23-17,LAUREL PD,Domestic/Family/Verbal,Domestic,OTHER
4-22-17,LAUREL PD,Drug Overdose/Illegal Substances,Drugs,DRUGS
4-21-17,LAUREL PD,Obscene Exploitation of a Child,Obscenity,OTHER
4-21-17,LAUREL PD,Domestic/Family/Verbal,Domestic,OTHER
4-20-17,LAUREL PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-19-17,LAUREL PD,Trespassing/Free Text,Trespassing,OTHER
4-18-17,LAUREL PD,Domestic/Family/Verbal,Domestic,OTHER
4-18-17,LAUREL PD,Larceny/From All Other Yards,Theft,PROPERTY
4-18-17,LAUREL PD,Trespassing/Free Text,Trespassing,OTHER
4-18-17,LAUREL PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-18-17,LAUREL PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-18-17,LAUREL PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-18-17,LAUREL PD,Resisting Arrest,Obstruction of justice -- police,OTHER
4-18-17,LAUREL PD,Local Fugitive/Wanted,Local fugitive,OTHER
