Crime Date,Agency,Description,Type,Group
4-22-17,TROOP 3 STATE POLICE,Heroin/Possession,Drugs,DRUGS
4-22-17,TROOP 3 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
4-21-17,TROOP 3 STATE POLICE,Criminal Solicitation,Obstruction of justice -- police,OTHER
4-21-17,TROOP 3 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
4-21-17,TROOP 3 STATE POLICE,Marijuana/Possession,Drugs,DRUGS
4-21-17,TROOP 3 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-21-17,TROOP 3 STATE POLICE,Domestic/Non-Family/Verbal,Domestic,OTHER
4-18-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-18-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-17-17,TROOP 3 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-14-17,TROOP 3 STATE POLICE,Marijuana/Possession,Drugs,DRUGS
4-13-17,TROOP 3 STATE POLICE,Violation of Protection From Abuse Order (PFA),Obstruction of justice -- courts,OTHER
4-13-17,TROOP 3 STATE POLICE,Violation of Protection From Abuse Order (PFA),Obstruction of justice -- courts,OTHER
4-12-17,TROOP 3 STATE POLICE,IMPERSONATION,Fraud,OTHER
4-12-17,TROOP 3 STATE POLICE,Expiration of Registration/Title Transfer,Traffic,OTHER
4-12-17,TROOP 3 STATE POLICE,Expiration of Registration/Title Transfer,Traffic,OTHER
4-12-17,TROOP 3 STATE POLICE,Expiration of Registration/Title Transfer,Traffic,OTHER
4-11-17,TROOP 3 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-09-17,TROOP 3 STATE POLICE,Damage/Business Property,Criminal mischief,OTHER
4-07-17,TROOP 3 STATE POLICE,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-07-17,TROOP 3 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-05-17,TROOP 3 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-05-17,TROOP 3 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-05-17,TROOP 3 STATE POLICE,Obstructing Police/Hindering Police Officer/Free Text,Obstruction of justice -- police,OTHER
4-04-17,TROOP 3 STATE POLICE,Heroin/Delivery,Drugs,DRUGS
4-04-17,TROOP 3 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-02-17,TROOP 3 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-02-17,TROOP 3 STATE POLICE,Unauthorized Use of Motor Vehicle,Vehicle theft,PROPERTY
4-01-17,TROOP 3 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-01-17,TROOP 3 STATE POLICE,Violation of Protection From Abuse Order (PFA),Obstruction of justice -- courts,OTHER
4-01-17,TROOP 3 STATE POLICE,Damage/Private Property,Criminal mischief,OTHER
4-01-17,TROOP 3 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
4-01-17,TROOP 3 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
3-30-17,TROOP 3 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
