Crime Date,Agency,Description,Type,Group
4-24-17,NEW CASTLE COUNTY PD,Vehicle Theft Locally Stolen-Locally Recover,Vehicle theft,PROPERTY
4-18-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-17-17,NEW CASTLE COUNTY PD,Trespassing/Free Text,Trespassing,OTHER
4-17-17,NEW CASTLE COUNTY PD,Trespassing/Free Text,Trespassing,OTHER
4-17-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-17-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-15-17,NEW CASTLE COUNTY PD,Conditional Release Violation,Obstruction of justice -- courts,OTHER
4-15-17,NEW CASTLE COUNTY PD,Marijuana/Possession,Drugs,DRUGS
4-15-17,NEW CASTLE COUNTY PD,Marijuana/Possession,Drugs,DRUGS
4-14-17,NEW CASTLE COUNTY PD,Bail/Secured Bond,Obstruction of justice -- courts,OTHER
4-13-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-12-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-12-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-12-17,NEW CASTLE COUNTY PD,Simple Assault/Police Officer/Other Assaults/Non-Aggravated,Assault,OTHER
4-12-17,NEW CASTLE COUNTY PD,Aggravated Assault/Non-Family Knife/Cutting Instrument,Aggravated assault,VIOLENT
4-12-17,NEW CASTLE COUNTY PD,Aggravated Assault/Non-Family Knife/Cutting Instrument,Aggravated assault,VIOLENT
4-12-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-12-17,NEW CASTLE COUNTY PD,Conditional Release Violation,Obstruction of justice -- courts,OTHER
4-12-17,NEW CASTLE COUNTY PD,Possession of Weapon,Weapons,WEAPONS
4-12-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-12-17,NEW CASTLE COUNTY PD,Theft of Services From Building,Theft,PROPERTY
4-12-17,NEW CASTLE COUNTY PD,Intimidation Police Officer (Terr. Threat,Assault,OTHER
4-12-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-12-17,NEW CASTLE COUNTY PD,Resisting Arrest,Obstruction of justice -- police,OTHER
4-12-17,NEW CASTLE COUNTY PD,Trespassing/Free Text,Trespassing,OTHER
4-11-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-11-17,NEW CASTLE COUNTY PD,Unauthorized Use of Motor Vehicle,Vehicle theft,PROPERTY
4-08-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-06-17,NEW CASTLE COUNTY PD,Failure to Register as Sex Offender, ,
4-06-17,NEW CASTLE COUNTY PD,Failure to Register as Sex Offender, ,
4-05-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-05-17,NEW CASTLE COUNTY PD,Robbery/Gun Highway,Robbery,VIOLENT
4-04-17,NEW CASTLE COUNTY PD,Vehicle Theft Locally Stolen-Locally Recover,Vehicle theft,PROPERTY
4-01-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-01-17,NEW CASTLE COUNTY PD,Violation of Protection From Abuse Order (PFA),Obstruction of justice -- courts,OTHER
4-01-17,NEW CASTLE COUNTY PD,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
3-30-17,TROOP 2 STATE POLICE,Larceny/From Building,Theft,PROPERTY
3-30-17,TROOP 2 STATE POLICE,Larceny/From Building,Theft,PROPERTY
3-30-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
3-30-17,DE STATE POLICE INTELLIGENCE UNIT,Heroin/Possession,Drugs,DRUGS
