Crime Date,Agency,Description,Type,Group
4-26-17,NEW CASTLE COUNTY PD,Larceny/Shoplifting,Theft,PROPERTY
4-26-17,NEW CASTLE COUNTY PD,Damage/Business Property,Criminal mischief,OTHER
4-25-17,NEW CASTLE COUNTY PD,Larceny/Vehicle Parts/From Auto/Attached,Theft,PROPERTY
4-24-17,TROOP 2 STATE POLICE,Domestic/Non-Family/Verbal,Domestic,OTHER
4-24-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-24-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-24-17,NEW CASTLE COUNTY PD,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-23-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-21-17,TROOP 2 STATE POLICE,Marijuana/Possession,Drugs,DRUGS
4-20-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-20-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-19-17,TROOP 2 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
4-19-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-19-17,NEW CASTLE COUNTY PD,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
4-18-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-18-17,TROOP 2 STATE POLICE,Possession of Shoplifting Tools,Theft,PROPERTY
4-18-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-17-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-17-17,TROOP 2 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-17-17,TROOP 2 STATE POLICE,Violation of Protection From Abuse Order (PFA),Obstruction of justice -- courts,OTHER
4-17-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-17-17,TROOP 2 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-17-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-17-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-17-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-17-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-17-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-17-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-17-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-15-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-15-17,NEW CASTLE COUNTY PD,Resisting Arrest,Obstruction of justice -- police,OTHER
4-15-17,NEW CASTLE COUNTY PD,Resisting Arrest,Obstruction of justice -- police,OTHER
4-15-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-15-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-15-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-15-17,NEW CASTLE COUNTY PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-15-17,NEW CASTLE COUNTY PD,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-15-17,NEW CASTLE COUNTY PD,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-15-17,NEW CASTLE COUNTY PD,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-15-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-13-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-13-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-11-17,NEW CASTLE COUNTY PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-11-17,NEW CASTLE COUNTY PD,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-11-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-10-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-10-17,NEW CASTLE COUNTY PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-09-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-09-17,NEW CASTLE COUNTY PD,Aggravated Assault/Family Other Dangerous Weapon,Aggravated assault,VIOLENT
4-09-17,NEW CASTLE COUNTY PD,IMPERSONATION,Fraud,OTHER
4-09-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-09-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-09-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-09-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-09-17,NEW CASTLE COUNTY PD,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
4-09-17,NEW CASTLE COUNTY PD,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
4-08-17,TROOP 2 STATE POLICE,Consumption of Liquor/Underage,Drunkeness,OTHER
4-08-17,TROOP 2 STATE POLICE,Consumption of Liquor/Underage,Drunkeness,OTHER
4-07-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-07-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-07-17,TROOP 2 STATE POLICE,Larceny/From All Other Yards,Theft,PROPERTY
4-06-17,NEW CASTLE COUNTY PD,Theft of Services From All Other Yards,Theft,PROPERTY
4-05-17,TROOP 2 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-05-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-05-17,TROOP 2 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
4-04-17,TROOP 2 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-04-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-04-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-04-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-04-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-03-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
