Crime Date,Agency,Description,Type,Group
4-25-17,NEWPORT PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-25-17,NEWPORT PD,Cocaine/Free Text,Drugs,DRUGS
4-25-17,NEWPORT PD,Cocaine/Free Text,Drugs,DRUGS
4-25-17,NEWPORT PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-25-17,NEWPORT PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-25-17,NEWPORT PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-24-17,NEWPORT PD,Bomb Threat,Weapons,WEAPONS
4-22-17,NEWPORT PD,Larceny/From Building,Theft,PROPERTY
4-22-17,NEWPORT PD,Larceny/From Building,Theft,PROPERTY
4-22-17,NEWPORT PD,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-22-17,NEWPORT PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-22-17,NEWPORT PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-19-17,NEWPORT PD,Domestic/Non-Family/Verbal,Domestic,OTHER
4-19-17,NEWPORT PD,Marijuana/Possession,Drugs,DRUGS
4-19-17,NEWPORT PD,Marijuana/Possession,Drugs,DRUGS
4-19-17,NEWPORT PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-19-17,NEWPORT PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-19-17,NEWPORT PD,Moving Violation/Traffic,Traffic,OTHER
4-19-17,NEWPORT PD,Moving Violation/Traffic,Traffic,OTHER
4-17-17,NEWPORT PD,Robbery/Gun Convenience Store,Robbery,VIOLENT
4-17-17,NEWPORT PD,Robbery/Gun Convenience Store,Robbery,VIOLENT
4-17-17,NEWPORT PD,Wearing a Disguise During the Commission of a Felony,Fraud,OTHER
4-17-17,NEWPORT PD,Wearing a Disguise During the Commission of a Felony,Fraud,OTHER
4-17-17,NEWPORT PD,Possession of Weapon,Weapons,WEAPONS
4-17-17,NEWPORT PD,Possession of Weapon,Weapons,WEAPONS
4-15-17,NEWPORT PD,Resisting Arrest,Obstruction of justice -- police,OTHER
4-15-17,NEWPORT PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-14-17,NEWPORT PD,Larceny/From All Other Yards,Theft,PROPERTY
4-14-17,NEWPORT PD,Domestic/Non-Family/Verbal,Domestic,OTHER
4-12-17,NEWPORT PD,Forgery of,Forgery,OTHER
4-12-17,NEWPORT PD,IMPERSONATION,Fraud,OTHER
4-12-17,NEWPORT PD,Cocaine/Possession with Intent to Deliver,Drugs,DRUGS
4-12-17,NEWPORT PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-12-17,NEWPORT PD,Resisting Arrest,Obstruction of justice -- police,OTHER
4-12-17,NEWPORT PD,Traffic Offense/Free Text,Traffic,OTHER
4-12-17,NEWPORT PD,Traffic Offense/Free Text,Traffic,OTHER
4-09-17,NEW CASTLE COUNTY PD,Aggravated Assault/Family Knife/Cutting Instrument,Aggravated assault,VIOLENT
4-09-17,NEW CASTLE COUNTY PD,Possession of Weapon,Weapons,WEAPONS
4-09-17,NEWPORT PD,Domestic/Family/Verbal,Domestic,OTHER
4-04-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-04-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-04-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-04-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-02-17,NEW CASTLE COUNTY PD,Consumption of Liquor/Underage,Drunkeness,OTHER
4-02-17,NEW CASTLE COUNTY PD,Trespassing/Free Text,Trespassing,OTHER
3-31-17,TROOP 6 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
3-30-17,NEWPORT PD,Marijuana/Possession,Drugs,DRUGS
3-30-17,NEWPORT PD,Resisting Arrest,Obstruction of justice -- police,OTHER
3-30-17,NEWPORT PD,Driving Under the Influence/Liquor,Traffic,OTHER
3-30-17,NEWPORT PD,Driving Under the Influence/Liquor,Traffic,OTHER
3-30-17,NEWPORT PD,Driving Under the Influence/Liquor,Traffic,OTHER
