Crime Date,Agency,Description,Type,Group
4-25-17,MIDDLETOWN POLICE DEPARTMENT,Local Fugitive/Wanted,Local fugitive,OTHER
4-25-17,MIDDLETOWN POLICE DEPARTMENT,Domestic/Family/Verbal,Domestic,OTHER
4-21-17,MIDDLETOWN POLICE DEPARTMENT,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-21-17,MIDDLETOWN POLICE DEPARTMENT,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-21-17,MIDDLETOWN POLICE DEPARTMENT,Possession of Drug Paraphernalia,Drugs,DRUGS
4-18-17,MIDDLETOWN POLICE DEPARTMENT,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-18-17,MIDDLETOWN POLICE DEPARTMENT,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-16-17,MIDDLETOWN POLICE DEPARTMENT,Local Fugitive/Wanted,Local fugitive,OTHER
4-15-17,MIDDLETOWN POLICE DEPARTMENT,Domestic/Family/Verbal,Domestic,OTHER
4-10-17,MIDDLETOWN POLICE DEPARTMENT,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-10-17,MIDDLETOWN POLICE DEPARTMENT,Damage/Private Property,Criminal mischief,OTHER
4-08-17,MIDDLETOWN POLICE DEPARTMENT,Larceny/From Building,Theft,PROPERTY
4-08-17,MIDDLETOWN POLICE DEPARTMENT,Fraud/Illegal Use of Credit Cards,Fraud,OTHER
4-07-17,MIDDLETOWN POLICE DEPARTMENT,Domestic/Family/Verbal,Domestic,OTHER
4-06-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-06-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-05-17,MIDDLETOWN POLICE DEPARTMENT,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-04-17,MIDDLETOWN POLICE DEPARTMENT,Domestic/Non-Family/Verbal,Domestic,OTHER
4-04-17,MIDDLETOWN POLICE DEPARTMENT,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-03-17,TROOP 2 STATE POLICE,Heroin/Possession with Intent to Deliver,Drugs,DRUGS
4-02-17,MIDDLETOWN POLICE DEPARTMENT,Local Fugitive/Wanted,Local fugitive,OTHER
4-02-17,MIDDLETOWN POLICE DEPARTMENT,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-02-17,MIDDLETOWN POLICE DEPARTMENT,Fraud/Illegal Use of Credit Cards,Fraud,OTHER
4-01-17,MIDDLETOWN POLICE DEPARTMENT,Vehicular Assault/No Intent/Other Assaults/Non-Aggravated,Assault,OTHER
4-01-17,MIDDLETOWN POLICE DEPARTMENT,Moving Violation/Traffic,Traffic,OTHER
