Crime Date,Agency,Description,Type,Group
4-18-17,TROOP 4 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
4-18-17,TROOP 4 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-18-17,TROOP 4 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
4-18-17,TROOP 4 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
4-15-17,TROOP 5 STATE POLICE,Domestic/Non-Family/Verbal,Domestic,OTHER
4-15-17,TROOP 5 STATE POLICE,Simple Assault/Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-14-17,TROOP 5 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-13-17,TROOP 5 STATE POLICE,Marijuana/Possession,Drugs,DRUGS
4-10-17,TROOP 4 STATE POLICE,Cocaine/Delivery,Drugs,DRUGS
4-06-17,TROOP 5 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
4-06-17,TROOP 5 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
4-06-17,TROOP 5 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
4-06-17,TROOP 5 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
4-06-17,TROOP 5 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
4-06-17,TROOP 5 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
