Crime Date,Agency,Description,Type,Group
4-24-17,DEL. RIV & BAY AUTH,Local Fugitive/Wanted,Local fugitive,OTHER
4-21-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-20-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-18-17,TROOP 2 STATE POLICE,Robbery/Gun Commercial House(except C,Robbery,VIOLENT
4-18-17,TROOP 2 STATE POLICE,Burglary/Forced Entry/NonResidence,Burglary,PROPERTY
4-18-17,TROOP 2 STATE POLICE,Burglary/Forced Entry/NonResidence,Burglary,PROPERTY
4-18-17,TROOP 2 STATE POLICE,Burglary/Forced Entry/NonResidence,Burglary,PROPERTY
4-18-17,TROOP 2 STATE POLICE,Burglary/Possession of Tools,Burglary,PROPERTY
4-18-17,TROOP 2 STATE POLICE,Damage/Business Property,Criminal mischief,OTHER
4-18-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
4-14-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-14-17,NEW CASTLE COUNTY PD,Trespassing/Free Text,Trespassing,OTHER
4-07-17,NEW CASTLE COUNTY PD,Opium or Derivative/Possession with Intent to Deliver,Drugs,DRUGS
4-07-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-07-17,NEW CASTLE COUNTY PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-07-17,NEW CASTLE COUNTY PD,Aggravated Assault/Family Firearm,Aggravated assault,VIOLENT
4-04-17,NEW CASTLE COUNTY PD,Cocaine/Possession,Drugs,DRUGS
4-03-17,TROOP 2 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-03-17,TROOP 2 STATE POLICE,Criminal Solicitation,Obstruction of justice -- police,OTHER
4-03-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-03-17,NEW CASTLE COUNTY PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-03-17,NEW CASTLE COUNTY PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
3-30-17,TROOP 2 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
3-30-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
3-30-17,NEW CASTLE COUNTY PD,Non-Moving Violation/Abandoned Vehicle/Tampering with Vehicle/Etc.,Traffic,OTHER
3-30-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
3-30-17,NEW CASTLE COUNTY PD,Fraud/Illegal Use of Credit Cards,Fraud,OTHER
3-30-17,DEL. RIV & BAY AUTH,Resisting Arrest,Obstruction of justice -- police,OTHER
3-30-17,DEL. RIV & BAY AUTH,Resisting Arrest,Obstruction of justice -- police,OTHER
