Crime Date,Agency,Description,Type,Group
4-22-17,TROOP 3 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
4-20-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-20-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-11-17,TROOP 3 STATE POLICE,Burglary/No Forced Entry/NonResidence,Burglary,PROPERTY
4-11-17,TROOP 3 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-11-17,TROOP 3 STATE POLICE,Theft/Other Motor Vehicle ,Vehicle theft,PROPERTY
4-09-17,TROOP 3 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-09-17,TROOP 3 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-04-17,TROOP 3 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-03-17,TROOP 3 STATE POLICE,Domestic/Non-Family/Verbal,Domestic,OTHER
3-31-17,TROOP 3 STATE POLICE,Driving Under the Influence/Liquor,Traffic,OTHER
3-31-17,TROOP 3 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
3-31-17,TROOP 3 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
3-31-17,TROOP 3 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
3-31-17,TROOP 3 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
3-31-17,TROOP 3 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
