Crime Date,Agency,Description,Type,Group
4-13-17,TROOP 3 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
4-13-17,TROOP 3 STATE POLICE,Criminal Solicitation,Obstruction of justice -- police,OTHER
4-04-17,TROOP 3 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
4-04-17,TROOP 3 STATE POLICE,Obstructing a Criminal Investigation/Material Witness/Hindering Prosecution,Obstruction of justice -- police,OTHER
4-03-17,TROOP 3 STATE POLICE,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
3-30-17,TROOP 3 STATE POLICE,Heroin/Possession,Drugs,DRUGS
3-30-17,TROOP 3 STATE POLICE,Cocaine/Possession,Drugs,DRUGS
3-30-17,TROOP 3 STATE POLICE,Cocaine/Possession,Drugs,DRUGS
3-30-17,TROOP 3 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
3-30-17,TROOP 3 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
3-30-17,TROOP 3 STATE POLICE,Cocaine/Possession,Drugs,DRUGS
3-30-17,TROOP 3 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
