Crime Date,Agency,Description,Type,Group
4-15-17,SMYRNA PD,Possession of Drug Paraphernalia,Drugs,DRUGS
4-14-17,SMYRNA PD,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-10-17,SMYRNA PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-10-17,SMYRNA PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-02-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
3-31-17,SMYRNA PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
3-31-17,SMYRNA PD,Larceny/From Building,Theft,PROPERTY
3-31-17,SMYRNA PD,Larceny/From Building,Theft,PROPERTY
3-31-17,SMYRNA PD,Larceny/From Building,Theft,PROPERTY
3-31-17,SMYRNA PD,Larceny/From Building,Theft,PROPERTY
3-31-17,SMYRNA PD,Fraud by Wire,Fraud,OTHER
3-31-17,SMYRNA PD,Fraud by Wire,Fraud,OTHER
3-31-17,SMYRNA PD,Fraud by Wire,Fraud,OTHER
3-30-17,SMYRNA PD,Larceny/From Building,Theft,PROPERTY
3-30-17,SMYRNA PD,Theft/Bus/Truck Locally Recovered,Vehicle theft,PROPERTY
3-30-17,SMYRNA PD,Hit and Run,Traffic,OTHER
3-30-17,SMYRNA PD,Hit and Run,Traffic,OTHER
3-30-17,SMYRNA PD,Hit and Run,Traffic,OTHER
3-30-17,SMYRNA PD,Hit and Run,Traffic,OTHER
