Crime Date,Agency,Description,Type,Group
4-22-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-19-17,NEW CASTLE COUNTY PD,Larceny/From Building,Theft,PROPERTY
4-16-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-16-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-16-17,NEW CASTLE COUNTY PD,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-11-17,NEW CASTLE COUNTY PD,Identity Theft, ,
4-10-17,TROOP 2 STATE POLICE,Larceny/From Building,Theft,PROPERTY
4-09-17,NEW CASTLE COUNTY PD,Marijuana/Possession,Drugs,DRUGS
4-08-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
4-08-17,NEW CASTLE COUNTY PD,Damage/Private Property,Criminal mischief,OTHER
3-31-17,NEW CASTLE COUNTY PD,Unauthorized Use of Motor Vehicle,Vehicle theft,PROPERTY
3-31-17,NEW CASTLE COUNTY PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
