Crime Date,Agency,Description,Type,Group
4-12-17,CLAYTON PD,Disorderly Conduct/Unrelated to Liquor,Disorderly conduct,OTHER
4-09-17,DHSS ANIMAL WELFARE,Local Statute/Free Text,Local statute,OTHER
3-30-17,TROOP 9 STATE POLICE,Burglary/No Forced Entry/Residence,Burglary,PROPERTY
3-30-17,TROOP 9 STATE POLICE,Burglary/No Forced Entry/NonResidence,Burglary,PROPERTY
3-30-17,TROOP 9 STATE POLICE,Larceny/From Building,Theft,PROPERTY
3-30-17,TROOP 9 STATE POLICE,Larceny/From Building,Theft,PROPERTY
3-30-17,TROOP 9 STATE POLICE,Theft/False Pretense or Promise,Fraud,OTHER
3-30-17,TROOP 9 STATE POLICE,Theft/False Pretense or Promise,Fraud,OTHER
3-30-17,TROOP 9 STATE POLICE,Theft/False Pretense or Promise,Fraud,OTHER
3-30-17,TROOP 9 STATE POLICE,Falsifying/Tampering with Business Documents,Fraud,OTHER
3-30-17,TROOP 9 STATE POLICE,Falsifying/Tampering with Business Documents,Fraud,OTHER
3-30-17,TROOP 9 STATE POLICE,Falsifying/Tampering with Business Documents,Fraud,OTHER
3-30-17,TROOP 9 STATE POLICE,Sale of Stolen Property,Stolen property,OTHER
3-30-17,TROOP 9 STATE POLICE,Sale of Stolen Property,Stolen property,OTHER
3-30-17,TROOP 9 STATE POLICE,Sale of Stolen Property,Stolen property,OTHER
3-30-17,TROOP 9 STATE POLICE,Sale of Stolen Property,Stolen property,OTHER
