Crime Date,Agency,Description,Type,Group
4-26-17,GEORGETOWN PD,Larceny/Shoplifting,Theft,PROPERTY
4-24-17,GEORGETOWN PD,Larceny/Shoplifting,Theft,PROPERTY
4-24-17,GEORGETOWN PD,Resisting Arrest,Obstruction of justice -- police,OTHER
4-23-17,GEORGETOWN PD,Larceny/Shoplifting,Theft,PROPERTY
4-22-17,GEORGETOWN PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-22-17,GEORGETOWN PD,Passport Counterfeiting,Forgery,OTHER
4-21-17,GEORGETOWN PD,Larceny/Shoplifting,Theft,PROPERTY
4-21-17,GEORGETOWN PD,Marijuana/Possession,Drugs,DRUGS
4-20-17,GEORGETOWN PD,Larceny/Shoplifting,Theft,PROPERTY
4-20-17,GEORGETOWN PD,Trespassing/Free Text,Trespassing,OTHER
4-19-17,GEORGETOWN PD,Larceny/Shoplifting,Theft,PROPERTY
4-19-17,GEORGETOWN PD,Larceny/Shoplifting,Theft,PROPERTY
4-18-17,GEORGETOWN PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-18-17,GEORGETOWN PD,Trespassing/Free Text,Trespassing,OTHER
4-14-17,GEORGETOWN PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-14-17,GEORGETOWN PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-13-17,GEORGETOWN PD,Larceny/Shoplifting,Theft,PROPERTY
4-12-17,TROOP 4 STATE POLICE,Possession of Drug Paraphernalia,Drugs,DRUGS
4-10-17,DHSS ANIMAL WELFARE,Cruelty To Animals, ,
4-09-17,GEORGETOWN PD,Intimidation/Reckless Endanger/Terroristic Threat/Harassment/Other Assaults/Non-Aggravated,Assault,OTHER
4-09-17,GEORGETOWN PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-09-17,GEORGETOWN PD,Driving Under the Influence/Liquor,Traffic,OTHER
4-09-17,GEORGETOWN PD,Driving Under the Influence/Liquor,Traffic,OTHER
4-09-17,GEORGETOWN PD,Driving Under the Influence/Liquor,Traffic,OTHER
4-09-17,GEORGETOWN PD,Driving Under the Influence/Liquor,Traffic,OTHER
4-09-17,GEORGETOWN PD,Driving Under the Influence/Liquor,Traffic,OTHER
4-09-17,GEORGETOWN PD,Driving Under the Influence/Liquor,Traffic,OTHER
4-09-17,GEORGETOWN PD,Larceny/From Building,Theft,PROPERTY
4-08-17,GEORGETOWN PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-08-17,GEORGETOWN PD,Local Fugitive/Wanted,Local fugitive,OTHER
4-04-17,DELAWARE SEX OFFENDER UNIT,Failure to Register as Sex Offender, ,
4-04-17,DELAWARE SEX OFFENDER UNIT,Failure to Register as Sex Offender, ,
4-04-17,DELAWARE SEX OFFENDER UNIT,Failure to Register as Sex Offender, ,
4-03-17,TROOP 4 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-02-17,GEORGETOWN PD,Larceny/Shoplifting,Theft,PROPERTY
4-01-17,GEORGETOWN PD,Larceny/Shoplifting,Theft,PROPERTY
4-01-17,GEORGETOWN PD,Larceny/Shoplifting,Theft,PROPERTY
